referenced_tweets,possibly_sensitive,author_id,reply_settings,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.impression_count,geo.place_id,withheld.copyright,withheld.country_codes
,False,1257674318806429698,everyone,"""Whoever is Anastasia?"" asked the man.  bbi #推特刷粉丝 #推特买粉丝 #推特刷粉   https://t.co/qkBXMeMd4v",0,0,0,0,0,,,
[<ReferencedTweet id=1613932663295070208 type=quoted],False,2743970058,everyone,"as an aquarius sun/moon, i say both https://t.co/LEsrs6zCXO",0,0,0,0,0,,,
[<ReferencedTweet id=1613909576566423553 type=quoted],False,1240874309028958215,everyone,Me too✌️ https://t.co/aEJQ9cPrzz,0,0,0,0,0,,,
[<ReferencedTweet id=1613947986312138764 type=quoted],False,3052448167,everyone,@LFC come on. Do something https://t.co/7rxy56QJ2z,0,0,0,0,0,,,
[<ReferencedTweet id=1613938472988938248 type=quoted],False,942943790100123648,everyone,Daaaang Fuma ~ wish I could give my oshi an awesome present too🙏 https://t.co/voDsU8aOtl,0,0,0,0,0,,,
[<ReferencedTweet id=1613930481732702208 type=replied_to],False,747530037419638784,everyone,@Vellvye good luck to all! https://t.co/nfROsAY72A,0,0,0,0,0,,,
[<ReferencedTweet id=1613911690311237639 type=quoted],False,38562123,everyone,"Sometimes they're in a bottle
Sometimes a pair of high heal shoes
Some come rolled in paper
Some have six strings and only play the blues 
Once you meet the devil
There's no way he'll let you be
When I'm not chasing demons
There's demons chasing me https://t.co/9EeuaEY6u9 https://t.co/iMAsDwWwgM",0,0,0,0,0,3b98b02fba3f9753,,
,False,1583844520000716806,everyone,"r3No cross,   #深圳 #深圳福田 #深圳宝安    .   https://t.co/4ILbirj4pT",0,0,0,0,0,,,
[<ReferencedTweet id=1613953508931211264 type=quoted],False,1603148398135312387,everyone,To love beauty is to see light. https://t.co/shbdi53mWy,0,0,0,0,0,,,
,False,1592176164654968834,everyone,"#代发推特 #推特增粉 #涨粉    https://t.co/U6uvkENH0h
What worry type fine generation give learn.",0,0,0,0,0,,,
,False,1849944276,everyone,"Get up to $55! Use my code $Monica17 when you join MoneyLion.
https://t.co/60FZozJM04 https://t.co/FhUcWTfpy0",0,0,0,0,0,,,
[<ReferencedTweet id=1610691411078254615 type=quoted],False,883350753137623040,everyone,"tonight!!! doors are at 10, lessssss get it 😈💕⭐️ https://t.co/gEWgIZmccL",0,0,0,0,2,,,
,False,1423677828239806473,everyone,"A group of teachers, staff, bus drivers and administrators attended training today to become CPR certified. Thank you to Rob Jackson Sr. and Rob Jackson Jr. with Midwest Emergency Medical Training for providing the lifesaving training to our staff. https://t.co/qR81x22cVY",0,0,0,0,0,,,
[<ReferencedTweet id=1613926227772850176 type=quoted],False,2264139506,everyone,Random lucky tag @MarkKay77438086 @tatnalllk @hugoblockchain @duncan61755088 @HopiumConnect @0xSinamap @zjaknb @nicholastim @Tommy87000 @EnigmaticUnreal @0xJJBlue @MIMIMoneyapp @BlackFans1 @Dicryp_im @Anthony33039510 @Stian_88 @shibakojimaru https://t.co/C1GCer2cH2,0,0,0,0,0,,,
[<ReferencedTweet id=1564638330217799681 type=quoted],False,832200822,everyone,"Crazy how far Hurts has come. Limited passer last year, ended his 2021 season with the worst game of his career.

One year later, 2nd Team All-Pro. Beating out Josh Allen, Justin Herbert, Joe Burrow, Aaron Rodgers, and Tom Brady. What an ascension. https://t.co/GyrFZLvrCU https://t.co/QvFXaKshyI",0,0,0,0,0,,,
,False,1369239309329563655,everyone,"Mom says I'm naughty.  She fed me lunch and went to the living room to pick something up. She had made homemade baked beans/bacon and had them cooling in a big bowl on the counter. When she came out, I had licked a big slurp out of the bowl and had some all over countertop.😂😂 https://t.co/4SzMWI4Q9L",0,0,0,0,0,,,
,False,2229509656,everyone,I'm so obsessed with this album for some reason. I can't stop listening to it. Fear of a blank planet is a great album. https://t.co/dmQs9Lf3lD,0,0,0,0,0,,,
,False,908969489433325568,everyone,"Btw, I love Cersei’s dresses in the later seasons so much more? Especially her black coronation dress https://t.co/tXziFzYg83",0,0,0,0,0,,,
[<ReferencedTweet id=1613560133451190279 type=quoted],False,1518940710787026946,everyone,Not 100% sure what that’s from. I want to say Harry Potter? https://t.co/wpkIKlyioY,0,0,0,0,2,,,
,False,1580622367981768716,everyone,"Welcome to Aesir, Smyth #3458. #smyths https://t.co/BfJsaVYSar",0,0,0,0,0,,,
,False,796048244858097664,everyone,one day i ll also make my parents feel proud✌❤😊 https://t.co/T8DUEiMMJm,0,0,0,0,0,,,
[<ReferencedTweet id=1613923149451608064 type=replied_to],False,836188867913007104,everyone,@mmpadellan A feminist who refused to pay child support.  Wow https://t.co/Diwp9pETFH,0,0,0,0,0,,,
,False,31418834,everyone,"Mountaineer Hardcourt Legends Pregame - Oklahoma, Saturday January 14th, 10:00 a.m. ET. Legends -Jarrod West, Tim Kearney &amp; Darryl Prue join Dale Wolfan Wolfley to Review Baylor &amp; Breakdown OU. 
Watch Live @Wolfley64 
@parmarstores  @WilsonMartino @DanCavaToyota @CountryRdsTrust https://t.co/y6O50okCIP https://t.co/8GTsPBpwMZ",0,0,0,0,0,,,
[<ReferencedTweet id=134787490526658561 type=quoted],False,1246860230794731520,everyone,I think @Wizards_DnD is doing a *great* dril impression today. https://t.co/ICaj6oANwi,0,0,0,0,0,,,
[<ReferencedTweet id=1613952748516675584 type=quoted],False,1593621777103691776,everyone,Very cool 👌 https://t.co/EUTy5YnCIS,0,0,0,0,0,,,
,False,1542860245986312201,everyone,"Do you like my pokemon? 🥺💕 
#青岛资源 #青岛 https://t.co/INNPsOIEKe",0,0,0,0,0,,,
,False,1406637889912410112,everyone,My jiminshii vibe is sooo hot and his voice is insane!😍🔥💜  taeyang also has a deferent vibe thanks for this collaboration to our jiminshii. 🙏☺🔥 #JiminIsComing #VibeWithArmy #VIBEOutNow #유노위갓댓_배민_바이브 #VibeFtJimin #VIBE https://t.co/TE0kepwA4N,0,0,0,0,0,,,
,False,23347305,everyone,The disrespect 🤣🤣🤣 https://t.co/Oebdzr3gdL,0,0,0,0,0,,,
[<ReferencedTweet id=1613940940661473283 type=replied_to],False,545971516,everyone,@ledbettercarly You are pathetic https://t.co/15ajUa0IoL,0,0,0,0,0,,,
,False,2191901364,everyone,Sherry Anna Quintion Martin Bernie Susanna 👧🏽 🦆 #佛山 https://t.co/QMaEKYwGCr,0,0,0,0,0,,,
[<ReferencedTweet id=1613907768053841921 type=replied_to],False,2408952111,everyone,"@EveMue @Knittingqueenuk @EmsKateB @RoyalFamily Great stop making it your business then - and we will stop highlighting that Americans spend the SAME amount on Presidential Inaguarations every 5 years as we have once in 70yrs on a Coronation (you've had at least TEN of these in my lifetime!!)
Are you seeing the IRONY yet?!! https://t.co/1OJZEQ47GX",0,0,0,0,0,,,
[<ReferencedTweet id=1613947802341576710 type=replied_to],False,1469082999396438021,everyone,@a5ht4r @NastasyaParshin The Chemicals Displaced https://t.co/Zv2yuOzpC3,0,0,0,0,0,,,
[<ReferencedTweet id=1613952268943986701 type=replied_to],False,1247801252181729281,everyone,@EyBethuna this is what friends are for 🤍 https://t.co/ySHayzsURh,0,0,0,0,0,,,
,False,51632719,everyone,Haka is the most metal thing https://t.co/ASnIVT5tHO,0,0,0,0,0,,,
[<ReferencedTweet id=1613850001071017984 type=quoted],False,1487914322156261377,everyone,"Very nice a man, wow, this is sad. It's quite unfortunate to lose reliable and dedicated officers like him, very respectful, committed, and proactive. May his soul rest in peace. Ire o. https://t.co/SZFcHg3w0o",0,0,0,0,0,,,
,False,1362871551348072450,everyone,"RT ActCRM: Act! Premium empowers you to market better, sell more, and create customers for life. Discover Act! Premium now… https://t.co/z3ZRRn0JVi",0,0,0,0,0,,,
,False,1547938380822224898,everyone,"Everyone has a lover like the moon, because this lover, we have the ability to guard.
#ApoNattawinxDiorTaipei
#Nnattawin
@Nnattawin1 https://t.co/YE7TBaRD4m",0,0,0,0,0,,,
,False,1242011750611824641,everyone,"SharonFentonMarkIsaac   
#牛牛 #牛牛 https://t.co/YEIhm4JtDl",0,0,0,0,0,,,
,True,1247228638220689411,everyone,i always bring the cake 💦 https://t.co/71WZA25IWk https://t.co/kZGaXnZEGv,0,0,0,0,1,,,
,False,55044457,everyone,The parsley and cilantro‘s are growing amongst the Garlic beautifully #Garden #VegetableGarden #FarmToTable #Vegetables #Gardening #Homegrown https://t.co/DpR6Q2sogo,0,0,0,0,0,,,
[<ReferencedTweet id=1613549224318177283 type=quoted],False,306818812,everyone,"I remember those years in school. Once I tell Shankie “Baba, e get one of my students wey I wan teach French”, he knows to vacate crib for babe. 😂 @Shankie00 https://t.co/8phn7G3WBM",0,0,0,0,0,,,
[<ReferencedTweet id=1613933513572765696 type=replied_to],False,1345808288122875909,everyone,@michaelreeves IT´S TIMEEEE! https://t.co/Q2hQskZN8P,0,0,0,0,0,,,
,False,1286636246278832130,everyone,"I watched this old movie today, I cried so much 😭😭😭😭😭😭😭😭😭 https://t.co/9oXQR3sdX6",0,0,0,0,0,,,
,False,1123667940228911104,everyone,SpongeBob SquarePants - Season 05 Episode 34 - Frame 0916 out of 4088 https://t.co/7oHNmetbSP,0,0,0,0,0,,,
,False,1289846502223785984,everyone,"MY MISS UNIVERSE @lizasoberano ❤️👑🥰

https://t.co/VxYdXsPb4x https://t.co/zVxODorxIv",0,0,0,0,0,,,
,False,1979401357,everyone,"Replace sbb comel
#NewProfilePic https://t.co/zTKGB1xjZM",0,0,0,0,0,,,
[<ReferencedTweet id=1613952101582868505 type=replied_to],False,1129870420130357248,everyone,May Allah protect him and never make our ears abandon from listening to his mesmerizing voice from the Holy mosque. https://t.co/BJn6EMV1sn,0,0,0,0,0,,,
[<ReferencedTweet id=1613953599389970432 type=quoted],False,1609922533876432896,everyone,Promote it https://t.co/ByJHMkMOhE,0,0,0,0,0,,,
[<ReferencedTweet id=1613811707507539969 type=replied_to],False,1587928454825005056,everyone,@RedLightning420 The Lord is my shepherd he knows what I want https://t.co/2KX5Y6Kkr4,0,0,0,0,0,,,
[<ReferencedTweet id=1613271107502481434 type=quoted],False,1530206558272925696,everyone,Check this out and find 1000x gems https://t.co/PZb4WKno1X,0,0,0,0,0,,,
,False,1540017375252447232,everyone,"Do you like my pokemon? 🥺💕 
#成都 #成都资源 #成都SPA https://t.co/v2uMx1wTvm",0,0,0,0,0,,,
[<ReferencedTweet id=1613872189236826113 type=quoted],False,30636467,everyone,So excited to be part of this! Free up your time for a weekend of fun! https://t.co/wkqTGG3e7B,0,0,0,0,1,,,
[<ReferencedTweet id=1613942823807586343 type=quoted],False,28406399,everyone,Ok but why does the pitchfork logo have to be so small? https://t.co/POHQ8zRvlW,0,0,0,0,0,,,
[<ReferencedTweet id=1613953770035056657 type=replied_to],False,2975885968,everyone,"You gonna plagiarize all of tech Twitter for us? You have any thoughts of your own on this matter? 

Or, or is that your thing — come into the bird app, read some obscure investment heuristic and pawn it off as your own to impress some founding teams",0,0,0,0,0,,,
[<ReferencedTweet id=1613922937257562121 type=replied_to],False,73434599,everyone,@letterboxd Not as much movies as I’d like but a pretty good start of 2023. https://t.co/QMjKBJLJTC,0,0,0,0,0,,,
,False,739878392577839104,everyone,"I'm in love with this outfit (^-^)
#Arknights #aktwt #アークナイツ https://t.co/cG6iYedvbz",0,0,0,0,0,,,
,False,1606563046259707906,everyone,"Do you like my pokemon? 🥺💕🥺💕🥺💕🥺💕 
#青岛丝足 #青岛spa #青岛 https://t.co/QDlNH1Tq3x",0,0,0,0,0,,,
[<ReferencedTweet id=1613889422831022083 type=quoted],False,960411904618381312,everyone,"Q.5. Ans] ⤵️

D. 4 years

#GalaxyA14 
#Awesome5G
#AmpYourAwesome 
#stufflistingsxGalaxyA14 
#GalaxyA14giveaway 
#stufflistingsarmy https://t.co/fvDSubtIAt",0,0,0,0,0,,,
[<ReferencedTweet id=1613238300268961792 type=replied_to],False,1486816275158519818,everyone,"@lakesidehi Because we’re all such f*cking hillbillies in this country and letting our government get away with whatever they want and the only thing we’re doing about it is bitch*ng on Twitter, blah blah blah, all the whining makes me sick but I join them because that’s Canadians do.😂😂😂",0,0,0,0,0,,,
[<ReferencedTweet id=1613952557906366464 type=quoted],False,1543571494512517121,everyone,WE DID IT! CONGRATS SVT &amp; CARATS!!! 🥳❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥 https://t.co/jg2mYXEFcH,0,0,0,0,0,,,
[<ReferencedTweet id=1613906486954008581 type=quoted],False,178889277,everyone,"New post today for subscribers.
Among the points: when you control for the effect of credit access and supply constraints, there have been 2 cyclical impulses since 2000:
A positive cycle in 2003-2005, and a negative cycle in 2019-2020. (And maybe a small positive one in 2022.) https://t.co/xiQ5FP9Y9i https://t.co/K6wrsrbmyW",0,0,0,0,0,,,
[<ReferencedTweet id=1613945203148361729 type=replied_to],False,194357529,everyone,"@Halpinforpope @joncolman @newsandstar Reading between the lines, rumours of Garner are true.  Garner is now receiving interest from others as Twitter chat has alerted clubs to his potential availablity.  A lot of stuff is speculation but some people in the know are leaking stuff too. Simmo is pissed off.",0,0,0,0,0,,,
,False,3421809899,everyone,"23/1-oI1214` Now I'm gone 
#泰州 #盐城 #宿迁 https://t.co/SuGSQ07pnv",0,0,0,0,0,,,
,False,4461492796,everyone,"jsdhglt colse359 your eyes 
#绵竹 #巴中 #攀枝花 https://t.co/XQG2ExpQRi",0,0,0,0,0,,,
[<ReferencedTweet id=1613757343157653505 type=quoted],False,730091645748674560,everyone,same sis same https://t.co/dgUawgMFjt,0,0,0,0,0,,,
,False,498987409,everyone,"t port to heave down and repair. 
IHERB_Code_is (( FBC7556 )) enjoy_discount_promocode_voucher_coupon_discounts_rewards_offers_perfume_promo_
 he wasn't, of course. 
""YOU C https://t.co/Bycb5MdB3F",0,0,0,0,0,,,
,False,1608879352909017088,everyone,how's the view of your drive? https://t.co/WSvNcGPeCJ,0,0,0,0,0,,,
[<ReferencedTweet id=1613930174088724481 type=replied_to],False,3653547437,everyone,@_80sGurl_ @PaulStanleyLive @kiss My afternoons have been good🌹💜⭐️😘 https://t.co/vFpbjKkgqC,1,0,1,0,2,8025063f29fa041b,,
,False,796221516,everyone,"PANDEF leader Edwin Clark endorsement of Peter Obi as president 2023, of what impact is this to the Niger Delta region? 

Join us on Point Blank as we will be hosting the Spokesperson of PANDEF as we look at this issue and the issue of governorship election in Rivers state. https://t.co/CW9LHrdXok",0,0,0,0,0,,,
[<ReferencedTweet id=1613953461619494912 type=replied_to],False,1550912932757782529,everyone,"@zzitman01 @sirmapy @LiebaoERC Aped to $Liebao

It looks good to grab a bag here. I wanna call it as a banger play because of low mcap and bullish dev and community behind.

#LIEBAO $LIEBAO #ETH https://t.co/VXLefvLNEo",0,0,0,0,0,,,
[<ReferencedTweet id=1613947243077275660 type=quoted],False,1216678990565515264,everyone,Great move that WS experts again prove how little they understand the market. https://t.co/Dba5bpTMbI,0,0,0,0,0,,,
[<ReferencedTweet id=1613944119407042561 type=replied_to],False,1567546503496978432,everyone,@alldmoneycrew Hello there @alldmoneycrew ! Your request have been acknowledged!!! Contact us via our Direct Message below as this way our team will be able to further guidances and look into your situation and assist you accordingly with your request. Thank you https://t.co/ANGPKzzDwz,0,0,0,0,0,,,
[<ReferencedTweet id=1613951204375105552 type=quoted],False,1613809439957553153,following,Successfully claimed MNLTH NFT @ChuckBridle @88kaps @tsamagki @KCL04 @fengluo @YkYoyoyo @GaleoteRR @BENDAVE90283164 @nhuthuanlee @KGGAMER01 @ArlindaRawcliff @bulljoo24 https://t.co/xssYmFF3gz,0,0,0,0,0,,,
[<ReferencedTweet id=1613629086190174212 type=quoted],False,2888152131,everyone,Who’s funding this security ? https://t.co/CLOx8A9Ngq,0,0,0,0,0,,,
[<ReferencedTweet id=1613948348481900547 type=replied_to],False,1586531861181992961,everyone,@diane7thh @mmpadellan @ReallyAmerican1 This is you!! https://t.co/Yt3yPszLvL,0,0,0,0,0,,,
[<ReferencedTweet id=1613923307891441669 type=quoted],False,611107935,everyone,He doesn't want the backing himself. He trusts Henderson https://t.co/jHfxqhIIkP,0,0,0,0,0,00c39537733fa112,,
[<ReferencedTweet id=1613910051374366722 type=quoted],False,804623339343876096,everyone,this is why i avoided being on stay twt https://t.co/Vo4llLgoeW,0,0,0,0,0,,,
[<ReferencedTweet id=1613905642103660544 type=quoted],False,1197873217,everyone,This is a stretch. Outside of bate and Hollywood it’s mostly been drafting for depth. https://t.co/2dN8XdARVd,0,0,0,0,0,01fbe706f872cb32,,
,False,1340801551699496961,everyone,A good p   #推特账号购买  R I L marksman may miss    https://t.co/vYf6EIK76i,0,0,0,0,0,,,
,False,774541891,everyone,"Those tweets with 5K+ likes, by the 50K+followers artists, talking about getting no views or likes, or getting likes for just being ""themselves"", do not make me feel better.😒 https://t.co/eisp89OjqS",0,0,0,0,1,,,
[<ReferencedTweet id=1613922937257562121 type=replied_to],False,920376259326160896,everyone,@letterboxd It is very weird… i know https://t.co/dvdVq2rgUZ,0,0,0,0,0,,,
[<ReferencedTweet id=1613926227772850176 type=quoted],False,1447636097845002240,everyone,I claimed eth.. Best project ever! @_mR_sAt_ @Nessa11990 @skerni5 @phoenix110110 @ALTBAE_crypto @zhengwuyuan2 @RyFleisch @feecrypto69 @21SatSavage @sindangpano @kh1x @anakefame @carljose @JanisGraubins @AnuzinR @Red775 @xxDontpanic https://t.co/FJblCBGoPV,0,0,0,0,0,,,
[<ReferencedTweet id=1613952621089361934 type=replied_to],True,889199857247940609,everyone,@P3RVBUN Ahem ahem sub top pretty boy https://t.co/iSuZzUEwJH,0,0,0,0,0,,,
[<ReferencedTweet id=1613952732150509569 type=quoted],False,1558304672867356673,everyone,Stop reporting straight up lies ibeg https://t.co/Kb6JM8e5Y8,0,0,0,0,0,,,
,False,1600618675270287361,everyone,"𝖒𝖚𝖘𝖙 𝖓𝖆𝖙𝖎𝖔𝖓 𝖙𝖍𝖎𝖘
https://t.co/Pk6EwFql0l
##
#實實阿點用其實 https://t.co/bQddjE7e8a",0,1,0,6,0,,,
[<ReferencedTweet id=1613928494433460224 type=quoted],False,1163152861,everyone,"Thank you, President Biden!! https://t.co/RoGHg34zH2",0,0,0,0,0,,,
[<ReferencedTweet id=1613748835054125056 type=quoted],False,1142981692610809856,everyone,good ending https://t.co/dAxQlDJjiH,0,0,0,0,0,,,
,False,1944715854,everyone,"✅ morning skate
🔜 gameday 🤠

#UnitedInBlue | #HockeyEast https://t.co/G8REC0ql0f",0,0,0,0,0,,,
[<ReferencedTweet id=1613926227772850176 type=quoted],False,1391565760846176257,everyone,don't miss it bro @mccashney @MournFarmer @senorjozo @subalubaluba @NguynTh92503943 @h4y29 @Ritari330 @TrynaFarm @jreinds https://t.co/g8FdaNkP1J,0,0,0,0,0,,,
[<ReferencedTweet id=1613935018727903233 type=replied_to],False,819336155514753024,everyone,@mscott7612 @fizalid @MailePRMedia @engineers_feed They're not best placed to make it out of the transition to EVs. Even Toyota is on shaky ground given the amount of debt it's in. https://t.co/F3Z3fsf3LO,0,0,0,0,0,,,
[<ReferencedTweet id=1613923855784976384 type=quoted],False,950056828708311045,everyone,"""veteran of Ukraine democratic and civil society renaissance""

lol

Was this before or after the coup in 2014? https://t.co/PCtb2sOmHP",0,0,0,0,0,,,
,False,1526424338114572289,everyone,"⠀
⠀How convenient
⠀ https://t.co/VvtRYt8UtT",0,0,0,0,0,,,
,False,959107637739696128,everyone,Girls Basketball (Varsity) Game Day! - Check out the event preview for the The Saydel Eagles vs the West Marshall Trojans. It starts at 6:00 PM and is at West Marshall High School. https://t.co/G4CVmkAnpI https://t.co/AGycqgSpct,0,0,0,0,0,,,
,True,1547581449695805440,everyone,"Send me your #music link
100% organic and real promotion
Inbox Now https://t.co/RFoXQsC4tW",0,0,0,0,0,,,
[<ReferencedTweet id=1613571641426022401 type=quoted],False,1154530667360899073,everyone,an all-male package of M&amp;M's https://t.co/LImN1Z7o3Z,0,0,0,0,0,,,
,False,1293430371179286528,everyone,Dean Moll ‍♂️ ⌛️ Madge Macaulay Daniel Caroline #厦门 #石家庄 https://t.co/H25Cj0EmPX,0,0,0,0,0,,,
[<ReferencedTweet id=1613953279435706378 type=replied_to],False,1040721351265398784,everyone,@SkullyDully @joshnamesnotjo1 N O E X C U S E W I L L S A V E Y O U R F A T E https://t.co/aiL5f1hCVJ,0,0,0,0,0,,,
,False,1329517695633674248,everyone,"#Amedisys is hiring a #Physical Therapist | Home #Health | Per Diem,, apply now! (#Burlingame) #job https://t.co/Je8Trt4Mc3 https://t.co/9KFnuSIr7D",0,0,0,0,0,,,
[<ReferencedTweet id=1613278910229385216 type=quoted],False,3319635925,everyone,I’m a disgusting slut for these https://t.co/btmxMPDCsd,0,0,0,0,0,,,
[<ReferencedTweet id=1613953381370073089 type=quoted],False,1603133648181641217,everyone,You are the best part of my li. https://t.co/Uz89fvCMvl,0,0,0,0,0,,,
[<ReferencedTweet id=1613671709181345792 type=replied_to],False,765207672643788800,everyone,@jacksonhinklle .@jacksonhinklle in a nutshell https://t.co/lIOBff7VDz,0,0,0,0,0,,,
,False,1128447440967864320,everyone,I got mvp 😌 https://t.co/BrYrPDbBmQ,0,0,0,0,0,,,
,False,1510318405932433410,everyone,"sfy the examiners, though wher examiners ever ar    45 #广州 #上海 #深圳              https://t.co/s7Dfm6Tim9",0,0,0,0,0,,,
[<ReferencedTweet id=1613953381370073089 type=quoted],False,1605095666967101442,everyone,You are the best part of my li. https://t.co/mE1sbkPp5b,0,0,0,0,0,,,
[<ReferencedTweet id=1613705839583404032 type=quoted],False,794925967,everyone,And that’s why y’all lost. 🇦🇷 https://t.co/6gsTcv49OX,0,0,0,0,0,,,
,False,1577241414584664065,everyone,Raiden Shogun #雷電将軍 #GenshinImpact #sexy #bigboobs #girl https://t.co/DoU1EwnwHr https://t.co/3KuZLe5qPD,0,0,0,0,0,,,
,False,1346982152471080963,everyone,Pssst. I’m here. https://t.co/4j299Z80vd,0,0,0,0,0,,,
[<ReferencedTweet id=1612054182692782080 type=quoted],False,463127035,everyone,As a baby and now !!! https://t.co/HAmDXmYOkM https://t.co/BR3c3QJCWC,0,0,0,0,0,,,
,False,1301897755523252225,everyone,"PrincessJeromeBerthaSally 
#赏金女王 #青州 https://t.co/7k90bQGuJx",0,0,0,0,0,,,
[<ReferencedTweet id=1613951513080074262 type=quoted],False,1318279555090612224,everyone,With lizotte getting the big bag (props!) And Conrad signing an extension as well...I'm left clamoring for MVPs 2023 season now https://t.co/ILSLRpLDHG,0,0,0,0,0,,,
[<ReferencedTweet id=1613925356565667847 type=quoted],False,1145858311859793920,everyone,omg omg omg omg omg ohhhhhh please be real please be real https://t.co/V38qqqQueo,0,0,0,0,0,,,
,False,1555225052441972736,everyone,Just a random “showing off my stuff” post. https://t.co/tA69XdoQ7t,0,0,0,0,1,,,
[<ReferencedTweet id=1453426992540422146 type=quoted],False,1142087936537759745,everyone,i wanna live here againnn https://t.co/mWALnjQmz1,0,0,0,0,0,,,
[<ReferencedTweet id=1613943380572098561 type=quoted],False,944024438411952128,following,"It took like an hour for the tokens to arrive, but hey it's free! @seeker2592 @HtooMm221 @Lee_apez @Nguyencuong618 @Lckyzx7 @theweb3guyy @DivyaPr84098308 @sssoo032 https://t.co/Ll1nXXgG60",0,0,0,0,0,,,
"[<ReferencedTweet id=1610093024486510592 type=quoted, <ReferencedTweet id=1613739353544753152 type=replied_to]",False,1549923491981316104,everyone,"@LifeOnaPlate This has been happening to me except with T*sla. If it's not the car itself, it's stock performance, batteries, Sp*ceEx, etc.

https://t.co/VgcKnYJjlQ",0,0,0,0,1,,,
,False,3395754612,everyone,"Tina Child Hale Alick  https://t.co/apf48xuHbN 
#赏金船长 #纸牌",0,0,0,0,0,,,
[<ReferencedTweet id=1613919069354315778 type=quoted],False,441377474,everyone,"Awesome.  Well the country needs a new Secretary of Transportation.  So when your incompetent husband moves on, we will move on.  Deal? https://t.co/df8iYa99s7",0,0,0,0,0,,,
,False,1326885055919165440,everyone,Can’t I do both?? https://t.co/g7Qz8XqHsx,0,0,0,0,0,,,
[<ReferencedTweet id=1613316811860357120 type=quoted],False,134902940,everyone,"Your Bishop told you this, didn’t he?   Do you still masturbate? https://t.co/bwCnhwWafg",0,0,0,0,0,,,
,False,721380803201146881,everyone,Phoenix Cecillia Andrew Child Frances Salome #昆明 https://t.co/euwxesGny5,0,0,0,0,0,,,
[<ReferencedTweet id=1613854101632348163 type=quoted],False,1393442554901848068,everyone,"Ankr’s SDK offers all the solutions you need take your game to the next level with full blockchain, crypto, and Web3 capabilities.
#ANKR https://t.co/VgEWgcWIkH",0,0,0,0,0,,,
,False,1583844635050446850,everyone,b4Life is but a span.  #上海虹口  #闵行  #上海长宁  #长宁 https://t.co/fqwUy3eMDZ,0,0,0,0,0,,,
,False,1396297736668995584,everyone,"22：12-P1769` You need the help of the night to hide 
#海口 #乌鲁木齐 #绍兴 https://t.co/XZK4HayjUx",0,0,0,0,0,,,
,True,1561017012624560128,everyone,"Fucck bothh my ass andd my pussyyy ahh hard please 🤤🤤

#exposed #boobs #chubby #creampie #young #hentai #whore #cunny #breeding #cum #nsfw  #sex #horny  #nudes #young #amateur #porn #onlyfans #bbc #slut #public #blowjob #latina https://t.co/DiswsClGmj",0,0,0,0,0,,,
[<ReferencedTweet id=1613953676946853889 type=quoted],False,1511409867550081024,everyone,Dm me with your cash app or PayPal or Zelle or venmo or Apple Pay and get spoiled with some money ❤️❤️❤️ https://t.co/CtmN6IjBHA,0,0,0,0,0,,,
