,tweets,hashtags,mentions
23,Random lucky tag @MarkKay77438086 @tatnalllk @hugoblockchain @duncan61755088 @HopiumConnect @0xSinamap @zjaknb @nicholastim @Tommy87000 @EnigmaticUnreal @0xJJBlue @MIMIMoneyapp @BlackFans1 @Dicryp im @Anthony33039510 @Stian 88 @shibakojimaru https://t.co/C1GCer2cH2,[],"['@MarkKay77438086', '@tatnalllk', '@hugoblockchain', '@duncan61755088', '@HopiumConnect', '@zjaknb', '@nicholastim', '@Tommy87000', '@EnigmaticUnreal', '@MIMIMoneyapp', '@BlackFans1', '@Dicryp', '@Anthony33039510', '@Stian', '@shibakojimaru']"
24,"Crazy how far Hurts has come. Limited passer last year, ended his 2021 season with the worst game of his career.  One year later, 2nd Team All Pro. Beating out Josh Allen, Justin Herbert, Joe Burrow, Aaron Rodgers, and Tom Brady. What an ascension. https://t.co/GyrFZLvrCU https://t.co/QvFXaKshyI",[],[]
25,"Mom says I'm naughty.  She fed me lunch and went to the living room to pick something up. She had made homemade baked beans/bacon and had them cooling in a big bowl on the counter. When she came out, I had licked a big slurp out of the bowl and had some all over countertop.   https://t.co/4SzMWI4Q9L",[],[]
26,I'm so obsessed with this album for some reason. I can't stop listening to it. Fear of a blank planet is a great album. https://t.co/dmQs9Lf3lD,[],[]
27,"Btw, I love Cersei s dresses in the later seasons so much more? Especially her black coronation dress https://t.co/tXziFzYg83",[],[]
28,Not 100  sure what that s from. I want to say Harry Potter? https://t.co/wpkIKlyioY,[],[]
29,"Welcome to Aesir, Smyth #3458. #smyths https://t.co/BfJsaVYSar",['#smyths'],[]
30,one day i ll also make my parents feel proud    https://t.co/T8DUEiMMJm,[],[]
31,@mmpadellan A feminist who refused to pay child support.  Wow https://t.co/Diwp9pETFH,[],['@mmpadellan']
32,"Mountaineer Hardcourt Legends Pregame   Oklahoma, Saturday January 14th, 10:00 a.m. ET. Legends  Jarrod West, Tim Kearney  amp  Darryl Prue join Dale Wolfan Wolfley to Review Baylor  amp  Breakdown OU.  Watch Live @Wolfley64  @parmarstores  @WilsonMartino @DanCavaToyota @CountryRdsTrust https://t.co/y6O50okCIP https://t.co/8GTsPBpwMZ",[],"['@Wolfley64', '@parmarstores', '@WilsonMartino', '@DanCavaToyota', '@CountryRdsTrust']"
33,I think @Wizards DnD is doing a  great  dril impression today. https://t.co/ICaj6oANwi,[],['@Wizards']
34,Very cool   https://t.co/EUTy5YnCIS,[],[]
35,Do you like my pokemon?     #     #   https://t.co/INNPsOIEKe,[],[]
36,My jiminshii vibe is sooo hot and his voice is insane!     taeyang also has a deferent vibe thanks for this collaboration to our jiminshii.     #JiminIsComing #VibeWithArmy #VIBEOutNow #             #VibeFtJimin #VIBE https://t.co/TE0kepwA4N,"['#JiminIsComing', '#VibeWithArmy', '#VIBEOutNow', '#VibeFtJimin', '#VIBE']",[]
37,The disrespect     https://t.co/Oebdzr3gdL,[],[]
38,@ledbettercarly You are pathetic https://t.co/15ajUa0IoL,[],['@ledbettercarly']
39,Sherry Anna Quintion Martin Bernie Susanna      #   https://t.co/QMaEKYwGCr,[],[]
40,@EveMue @Knittingqueenuk @EmsKateB @RoyalFamily Great stop making it your business then   and we will stop highlighting that Americans spend the SAME amount on Presidential Inaguarations every 5 years as we have once in 70yrs on a Coronation (you've had at least TEN of these in my lifetime!!) Are you seeing the IRONY yet?!! https://t.co/1OJZEQ47GX,[],"['@EveMue', '@Knittingqueenuk', '@EmsKateB', '@RoyalFamily']"
41,@a5ht4r @NastasyaParshin The Chemicals Displaced https://t.co/Zv2yuOzpC3,[],"['@a5ht4r', '@NastasyaParshin']"
42,@EyBethuna this is what friends are for   https://t.co/ySHayzsURh,[],['@EyBethuna']
43,Haka is the most metal thing https://t.co/ASnIVT5tHO,[],[]
44,"Very nice a man, wow, this is sad. It's quite unfortunate to lose reliable and dedicated officers like him, very respectful, committed, and proactive. May his soul rest in peace. Ire o. https://t.co/SZFcHg3w0o",[],[]
45,"RT ActCRM: Act! Premium empowers you to market better, sell more, and create customers for life. Discover Act! Premium now  https://t.co/z3ZRRn0JVi",[],[]
46,"Everyone has a lover like the moon, because this lover, we have the ability to guard. #ApoNattawinxDiorTaipei #Nnattawin @Nnattawin1 https://t.co/YE7TBaRD4m","['#ApoNattawinxDiorTaipei', '#Nnattawin']",['@Nnattawin1']
47,SharonFentonMarkIsaac    #   #   https://t.co/YEIhm4JtDl,[],[]
48,i always bring the cake   https://t.co/71WZA25IWk https://t.co/kZGaXnZEGv,[],[]
49,The parsley and cilantro s are growing amongst the Garlic beautifully #Garden #VegetableGarden #FarmToTable #Vegetables #Gardening #Homegrown https://t.co/DpR6Q2sogo,"['#Garden', '#VegetableGarden', '#FarmToTable', '#Vegetables', '#Gardening', '#Homegrown']",[]
50,"I remember those years in school. Once I tell Shankie  Baba, e get one of my students wey I wan teach French , he knows to vacate crib for babe.   @Shankie00 https://t.co/8phn7G3WBM",[],['@Shankie00']
51,@michaelreeves IT S TIMEEEE! https://t.co/Q2hQskZN8P,[],['@michaelreeves']
52,"I watched this old movie today, I cried so much           https://t.co/9oXQR3sdX6",[],[]
53,SpongeBob SquarePants   Season 05 Episode 34   Frame 0916 out of 4088 https://t.co/7oHNmetbSP,[],[]
54,MY MISS UNIVERSE @lizasoberano       https://t.co/VxYdXsPb4x https://t.co/zVxODorxIv,[],['@lizasoberano']
55,Replace sbb comel #NewProfilePic https://t.co/zTKGB1xjZM,['#NewProfilePic'],[]
56,May Allah protect him and never make our ears abandon from listening to his mesmerizing voice from the Holy mosque. https://t.co/BJn6EMV1sn,[],[]
57,Promote it https://t.co/ByJHMkMOhE,[],[]
58,@RedLightning420 The Lord is my shepherd he knows what I want https://t.co/2KX5Y6Kkr4,[],['@RedLightning420']
59,Check this out and find 1000x gems https://t.co/PZb4WKno1X,[],[]
60,Do you like my pokemon?     #   #     #  SPA https://t.co/v2uMx1wTvm,[],[]
61,So excited to be part of this! Free up your time for a weekend of fun! https://t.co/wkqTGG3e7B,[],[]
62,Ok but why does the pitchfork logo have to be so small? https://t.co/POHQ8zRvlW,[],[]
63,"You gonna plagiarize all of tech Twitter for us? You have any thoughts of your own on this matter?   Or, or is that your thing   come into the bird app, read some obscure investment heuristic and pawn it off as your own to impress some founding teams",[],[]
64,@letterboxd Not as much movies as I d like but a pretty good start of 2023. https://t.co/QMjKBJLJTC,[],['@letterboxd']
65,I'm in love with this outfit (   ) #Arknights #aktwt #       https://t.co/cG6iYedvbz,"['#Arknights', '#aktwt']",[]
66,Do you like my pokemon?           #     #  spa #   https://t.co/QDlNH1Tq3x,[],[]
67,Q.5. Ans      D. 4 years  #GalaxyA14  #Awesome5G #AmpYourAwesome  #stufflistingsxGalaxyA14  #GalaxyA14giveaway  #stufflistingsarmy https://t.co/fvDSubtIAt,"['#GalaxyA14', '#Awesome5G', '#AmpYourAwesome', '#stufflistingsxGalaxyA14', '#GalaxyA14giveaway', '#stufflistingsarmy']",[]
68,"@lakesidehi Because we re all such f cking hillbillies in this country and letting our government get away with whatever they want and the only thing we re doing about it is bitch ng on Twitter, blah blah blah, all the whining makes me sick but I join them because that s Canadians do.   ",[],['@lakesidehi']
69,WE DID IT! CONGRATS SVT  amp  CARATS!!!                       https://t.co/jg2mYXEFcH,[],[]
70,"New post today for subscribers. Among the points: when you control for the effect of credit access and supply constraints, there have been 2 cyclical impulses since 2000: A positive cycle in 2003 2005, and a negative cycle in 2019 2020. (And maybe a small positive one in 2022.) https://t.co/xiQ5FP9Y9i https://t.co/K6wrsrbmyW",[],[]
71,"@Halpinforpope @joncolman @newsandstar Reading between the lines, rumours of Garner are true.  Garner is now receiving interest from others as Twitter chat has alerted clubs to his potential availablity.  A lot of stuff is speculation but some people in the know are leaking stuff too. Simmo is pissed off.",[],"['@Halpinforpope', '@joncolman', '@newsandstar']"
72,23/1 oI1214  Now I'm gone  #   #   #   https://t.co/SuGSQ07pnv,[],[]
73,jsdhglt colse359 your eyes  #   #   #    https://t.co/XQG2ExpQRi,[],[]
74,same sis same https://t.co/dgUawgMFjt,[],[]
75,"t port to heave down and repair.  IHERB Code is (( FBC7556 )) enjoy discount promocode voucher coupon discounts rewards offers perfume promo   he wasn't, of course.  ""YOU C https://t.co/Bycb5MdB3F",[],[]
76,how's the view of your drive? https://t.co/WSvNcGPeCJ,[],[]
77,@ 80sGurl  @PaulStanleyLive @kiss My afternoons have been good      https://t.co/vFpbjKkgqC,[],"['@PaulStanleyLive', '@kiss']"
78,"PANDEF leader Edwin Clark endorsement of Peter Obi as president 2023, of what impact is this to the Niger Delta region?   Join us on Point Blank as we will be hosting the Spokesperson of PANDEF as we look at this issue and the issue of governorship election in Rivers state. https://t.co/CW9LHrdXok",[],[]
79,@zzitman01 @sirmapy @LiebaoERC Aped to  Liebao  It looks good to grab a bag here. I wanna call it as a banger play because of low mcap and bullish dev and community behind.  #LIEBAO  LIEBAO #ETH https://t.co/VXLefvLNEo,"['#LIEBAO', '#ETH']","['@zzitman01', '@sirmapy', '@LiebaoERC']"
80,Great move that WS experts again prove how little they understand the market. https://t.co/Dba5bpTMbI,[],[]
81,@alldmoneycrew Hello there @alldmoneycrew ! Your request have been acknowledged!!! Contact us via our Direct Message below as this way our team will be able to further guidances and look into your situation and assist you accordingly with your request. Thank you https://t.co/ANGPKzzDwz,[],"['@alldmoneycrew', '@alldmoneycrew']"
82,Successfully claimed MNLTH NFT @ChuckBridle @88kaps @tsamagki @KCL04 @fengluo @YkYoyoyo @GaleoteRR @BENDAVE90283164 @nhuthuanlee @KGGAMER01 @ArlindaRawcliff @bulljoo24 https://t.co/xssYmFF3gz,[],"['@ChuckBridle', '@tsamagki', '@KCL04', '@fengluo', '@YkYoyoyo', '@GaleoteRR', '@BENDAVE90283164', '@nhuthuanlee', '@KGGAMER01', '@ArlindaRawcliff', '@bulljoo24']"
83,Who s funding this security ? https://t.co/CLOx8A9Ngq,[],[]
84,@diane7thh @mmpadellan @ReallyAmerican1 This is you!! https://t.co/Yt3yPszLvL,[],"['@diane7thh', '@mmpadellan', '@ReallyAmerican1']"
85,He doesn't want the backing himself. He trusts Henderson https://t.co/jHfxqhIIkP,[],[]
86,this is why i avoided being on stay twt https://t.co/Vo4llLgoeW,[],[]
87,This is a stretch. Outside of bate and Hollywood it s mostly been drafting for depth. https://t.co/2dN8XdARVd,[],[]
88,A good p   #        R I L marksman may miss    https://t.co/vYf6EIK76i,[],[]
89,"Those tweets with 5K  likes, by the 50K followers artists, talking about getting no views or likes, or getting likes for just being ""themselves"", do not make me feel better.  https://t.co/eisp89OjqS",[],[]
90,@letterboxd It is very weird  i know https://t.co/dvdVq2rgUZ,[],['@letterboxd']
91,I claimed eth.. Best project ever! @ mR sAt  @Nessa11990 @skerni5 @phoenix110110 @ALTBAE crypto @zhengwuyuan2 @RyFleisch @feecrypto69 @21SatSavage @sindangpano @kh1x @anakefame @carljose @JanisGraubins @AnuzinR @Red775 @xxDontpanic https://t.co/FJblCBGoPV,[],"['@Nessa11990', '@skerni5', '@phoenix110110', '@ALTBAE', '@zhengwuyuan2', '@RyFleisch', '@feecrypto69', '@sindangpano', '@kh1x', '@anakefame', '@carljose', '@JanisGraubins', '@AnuzinR', '@Red775', '@xxDontpanic']"
92,@P3RVBUN Ahem ahem sub top pretty boy https://t.co/iSuZzUEwJH,[],['@P3RVBUN']
93,Stop reporting straight up lies ibeg https://t.co/Kb6JM8e5Y8,[],[]
94,                 https://t.co/Pk6EwFql0l ## #        https://t.co/bQddjE7e8a,[],[]
95,"Thank you, President Biden!! https://t.co/RoGHg34zH2",[],[]
96,good ending https://t.co/dAxQlDJjiH,[],[]
97,  morning skate   gameday    #UnitedInBlue   #HockeyEast https://t.co/G8REC0ql0f,"['#UnitedInBlue', '#HockeyEast']",[]
98,don't miss it bro @mccashney @MournFarmer @senorjozo @subalubaluba @NguynTh92503943 @h4y29 @Ritari330 @TrynaFarm @jreinds https://t.co/g8FdaNkP1J,[],"['@mccashney', '@MournFarmer', '@senorjozo', '@subalubaluba', '@NguynTh92503943', '@h4y29', '@Ritari330', '@TrynaFarm', '@jreinds']"
99,@mscott7612 @fizalid @MailePRMedia @engineers feed They're not best placed to make it out of the transition to EVs. Even Toyota is on shaky ground given the amount of debt it's in. https://t.co/F3Z3fsf3LO,[],"['@mscott7612', '@fizalid', '@MailePRMedia', '@engineers']"
100,"""veteran of Ukraine democratic and civil society renaissance""  lol  Was this before or after the coup in 2014? https://t.co/PCtb2sOmHP",[],[]
101,   How convenient   https://t.co/VvtRYt8UtT,[],[]
102,Girls Basketball (Varsity) Game Day!   Check out the event preview for the The Saydel Eagles vs the West Marshall Trojans. It starts at 6:00 PM and is at West Marshall High School. https://t.co/G4CVmkAnpI https://t.co/AGycqgSpct,[],[]
103,Send me your #music link 100  organic and real promotion Inbox Now https://t.co/RFoXQsC4tW,['#music'],[]
104,an all male package of M amp M's https://t.co/LImN1Z7o3Z,[],[]
105,Dean Moll        Madge Macaulay Daniel Caroline #   #    https://t.co/H25Cj0EmPX,[],[]
106,@SkullyDully @joshnamesnotjo1 N O E X C U S E W I L L S A V E Y O U R F A T E https://t.co/aiL5f1hCVJ,[],"['@SkullyDully', '@joshnamesnotjo1']"
107,"#Amedisys is hiring a #Physical Therapist   Home #Health   Per Diem,, apply now! (#Burlingame) #job https://t.co/Je8Trt4Mc3 https://t.co/9KFnuSIr7D","['#Amedisys', '#Physical', '#Health', '#Burlingame', '#job']",[]
108,I m a disgusting slut for these https://t.co/btmxMPDCsd,[],[]
109,You are the best part of my li. https://t.co/Uz89fvCMvl,[],[]
110,@jacksonhinklle .@jacksonhinklle in a nutshell https://t.co/lIOBff7VDz,[],"['@jacksonhinklle', '@jacksonhinklle']"
111,I got mvp   https://t.co/BrYrPDbBmQ,[],[]
112,"sfy the examiners, though wher examiners ever ar    45 #   #   #                https://t.co/s7Dfm6Tim9",[],[]
113,You are the best part of my li. https://t.co/mE1sbkPp5b,[],[]
114,And that s why y all lost.    https://t.co/6gsTcv49OX,[],[]
115,Raiden Shogun #     #GenshinImpact #sexy #bigboobs #girl https://t.co/DoU1EwnwHr https://t.co/3KuZLe5qPD,"['#GenshinImpact', '#sexy', '#bigboobs', '#girl']",[]
116,Pssst. I m here. https://t.co/4j299Z80vd,[],[]
117,As a baby and now !!! https://t.co/HAmDXmYOkM https://t.co/BR3c3QJCWC,[],[]
118,PrincessJeromeBerthaSally  #     #   https://t.co/7k90bQGuJx,[],[]
119,With lizotte getting the big bag (props!) And Conrad signing an extension as well...I'm left clamoring for MVPs 2023 season now https://t.co/ILSLRpLDHG,[],[]
120,omg omg omg omg omg ohhhhhh please be real please be real https://t.co/V38qqqQueo,[],[]
121,Just a random  showing off my stuff  post. https://t.co/tA69XdoQ7t,[],[]
122,i wanna live here againnn https://t.co/mWALnjQmz1,[],[]
123,"It took like an hour for the tokens to arrive, but hey it's free! @seeker2592 @HtooMm221 @Lee apez @Nguyencuong618 @Lckyzx7 @theweb3guyy @DivyaPr84098308 @sssoo032 https://t.co/Ll1nXXgG60",[],"['@seeker2592', '@HtooMm221', '@Lee', '@Nguyencuong618', '@Lckyzx7', '@theweb3guyy', '@DivyaPr84098308', '@sssoo032']"
124,"@LifeOnaPlate This has been happening to me except with T sla. If it's not the car itself, it's stock performance, batteries, Sp ceEx, etc.  https://t.co/VgcKnYJjlQ",[],['@LifeOnaPlate']
125,Tina Child Hale Alick  https://t.co/apf48xuHbN  #     #  ,[],[]
126,"Awesome.  Well the country needs a new Secretary of Transportation.  So when your incompetent husband moves on, we will move on.  Deal? https://t.co/df8iYa99s7",[],[]
127,Can t I do both?? https://t.co/g7Qz8XqHsx,[],[]
128,"Your Bishop told you this, didn t he?   Do you still masturbate? https://t.co/bwCnhwWafg",[],[]
129,Phoenix Cecillia Andrew Child Frances Salome #   https://t.co/euwxesGny5,[],[]
130,"Ankr s SDK offers all the solutions you need take your game to the next level with full blockchain, crypto, and Web3 capabilities. #ANKR https://t.co/VgEWgcWIkH",['#ANKR'],[]
131,b4Life is but a span.  #      #    #      #   https://t.co/fqwUy3eMDZ,[],[]
132,22 12 P1769  You need the help of the night to hide  #   #     #   https://t.co/XZK4HayjUx,[],[]
133,Fucck bothh my ass andd my pussyyy ahh hard please     #exposed #boobs #chubby #creampie #young #hentai #whore #cunny #breeding #cum #nsfw  #sex #horny  #nudes #young #amateur #porn #onlyfans #bbc #slut #public #blowjob #latina https://t.co/DiswsClGmj,"['#exposed', '#boobs', '#chubby', '#creampie', '#young', '#hentai', '#whore', '#cunny', '#breeding', '#cum', '#nsfw', '#sex', '#horny', '#nudes', '#young', '#amateur', '#porn', '#onlyfans', '#bbc', '#slut', '#public', '#blowjob', '#latina']",[]
134,Dm me with your cash app or PayPal or Zelle or venmo or Apple Pay and get spoiled with some money        https://t.co/CtmN6IjBHA,[],[]
135,"STREETS OF RAGE: THE SERIES, DXXKRODE BY THE YOUNG  amp  THE RESTLESS ""AND"" DAYS OF OUR LIVES  https://t.co/Wr0mz8KFV3",[],[]
136,speaking facts https://t.co/Ebwie4oaKo,[],[]
137,@Mafooli @Ellars @catturd2 They are not on Twitter and face book is severely censored.  But keep waiting more will come out from this killshots..,[],"['@Mafooli', '@Ellars', '@catturd2']"
138,haha wrow new art! considering making this a demon oc who thinks human occultism is cool and fascinating but only the stuff that doesn't actually work Like my art? Support me on Ko Fi! https://t.co/CUCFj43ymq https://t.co/VrPsl8MWjE,[],[]
139,FUGLY https://t.co/krKJJ0lTb6,[],[]
140,KISS KISS FALL IN LOVEEEEEEEE        https://t.co/QSSfbJDJAT,[],[]
141,RELOAD!        https://t.co/edbDBPEn2Z https://t.co/bvF6PlofcR,[],[]
142,"""What sort of cab did you say, my dear boy?""   xxl8k    #   #     #nft https://t.co/TfRavTsPnu",['#nft'],[]
143,Go make something https://t.co/JW52Ty1iZ3,[],[]
144,Feelings https://t.co/ltmGWqxwSW,[],[]
145,@hwaberrykiss                                                https://t.co/muVMT4vXjj,[],['@hwaberrykiss']
146,"new year, new me, new tattoo   https://t.co/8V0Le35qrn",[],[]
147,"It takes a special kind of person to throw this kind of trash out at the church. We picked up over 50 large liquor bottles and some drug paraphernalia, not to mention all the beer cans/bottles  amp  mini bottles. Whoever you are, know that Jesus can deliver from the bondage you re in https://t.co/XIcSdZmosL",[],[]
148,"TV picks get worse every round, all about the Premier League it s a disgrace https://t.co/bHofE0rkyd",[],[]
149,d the people.whe1  rdfsvxhuizl  #   #   #    https://t.co/SJoNYUQqf3,[],[]
150,"Quality work and timely delivery  Exams Final paper Maths  Calculus English  Python  Stats Essays due  Geography Chicago essays  Assignments  Biology Physics Research Homework. Chemistry  Essay pay Quizzes Psychology Maths, Geometry Project DM @a writers2 https://t.co/Mo14fHCs2N",[],[]
151,"If anyone needs me, I m busy. Please make an appointment next time.   #readinglist #christmaspresenttomyself https://t.co/ZyfRtNIeQQ","['#readinglist', '#christmaspresenttomyself']",[]
152,I love mankind it's people I c. https://t.co/Hwcbg6rVa7,[],[]
153,crying https://t.co/uy1Px1gx1p,[],[]
154,i like these https://t.co/tr8U2upJtm,[],[]
155,JENNIE KIM I M WATCHING RESPECTFULLY https://t.co/kR08s3CWwk,[],[]
156,@lunicael I'm not sure if you can find out how to do this but...   E4 https://t.co/M6pNSxDXLI,[],['@lunicael']
157,Treat yourself and read the whole thread https://t.co/5tYFppSPWr,[],[]
158,heyo I finished Infinity Train and honestly I think I kind of popped off with my review here https://t.co/Fab88QlA77,[],[]
159,You sound about as goofy as corny ass brand u caping for. https://t.co/1wHptC5uot,[],[]
160,"""You naughty girl! You mean to say you did  hjk  #     https://t.co/FFUrL1Lq4o",[],[]
161,Kanye a born again Christian got married to her cigarette smoker?       dude not ready to give up to Christ yet   https://t.co/eebR0qZRcg,[],[]
162,"This is such a low IQ take  when people say the constitution ""failed"", they obviously mean the boomer idea that the constitution would constrain a ruling class determined to violate it, not that the constitution is unfit as a body of law for a people seeking to uphold it. https://t.co/cmNOSDhvhU",[],[]
163,We'll love you just the way yo. https://t.co/QONsN6cx8m,[],[]
164,This.. this is #oddlysatisfying #DogsOnTwitter https://t.co/bf8CjEfgl5,"['#oddlysatisfying', '#DogsOnTwitter']",[]
165,For Idiot only https://t.co/yFj0pHvEF0,[],[]
166,This whole thing is so sad. The a#rapper baby moms and gfs.   Just if pathetic were ppl https://t.co/efkDTNAlSS,['#rapper'],[]
167,@PNyamutoro shares her journey as  a National Female Youth MP. She appreciates @NYCofUganda for nurturing her and implores all young leaders to keeping on pressing and serving selflessly.  #NYCAlumniDinner https://t.co/lD0EgwOzjS,['#NYCAlumniDinner'],"['@PNyamutoro', '@NYCofUganda']"
168,Do you like my pokemon?     #   #     https://t.co/LmQfVUojCV,[],[]
169,Verifying my Twitter account for my #GalxeID gid:ew7p2Uf6qJEwvbdeLNnY5H @Galxe    https://t.co/Y9BkVMWyRX,['#GalxeID'],['@Galxe']
170,@ICC Pakistan after loosing home series again   https://t.co/wGNWPMdWJc,[],['@ICC']
171,What does this mean? https://t.co/18oHJnpykg,[],[]
172,2 FF si hit by 14 beam   https://t.co/Y6SfGicMVQ,[],[]
173,"you  t p   #      R I Lwish, it doesn't mean you'     https://t.co/1Ld8mOFMy3",[],[]
174,Professor Anyang Nyong'o @AnyangNyongo reunites with @TheODMparty founder member and now President William Kipchirchir Samoei Arap Ruto PhD   https://t.co/P7w0DovRQO,[],"['@AnyangNyongo', '@TheODMparty']"
175,200 series(30th anniversary) https://t.co/Il7GUzXsqj,[],[]
176,and i fucking love that!! https://t.co/66xj8JWXZd,[],[]
177,I know of 5 people that the vaccine killed. Or Murdered. And countless more with debilitating injuries. Oh my tweet was well thought out from hard experience  You took the jab didn t you. And you re scared aren t you? https://t.co/9x864eeWpN,[],[]
178,"Stream ""You Don't Know Bo"" on @ESPNPlus     https://t.co/IHZFbo16ns",[],['@ESPNPlus']
179,#Megan was excellent nothing said   https://t.co/Rn5dYTFoEG,['#Megan'],[]
180,   IF YOU WANT ONLYFANS   SUBSCRIBERS THEN DM  YOUR PIC AND ONLYFANS   LINKS ON OUR 10MILLIONS NET  . https://t.co/eD3hNY5rTD? https://t.co/T4RMdDTpNx,[],[]
181,Hoping to add some Friday hype to your timeline   https://t.co/DdV7MOSuCC,[],[]
182,Hey #NFTCommunity and friends      I have #Openeditions  available on my #Manifold contract:  Gothic Friday 13th Doll 0.013 ETH Unlimited Editions on Manifold   https://t.co/g0EiIc7EnK  #NFTs #ETH #Ethereum #NFTCommunitys #NFTCommunity #NFTartist #NFTCollector https://t.co/vFp1AbeCUB,"['#NFTCommunity', '#Openeditions', '#Manifold', '#NFTs', '#ETH', '#Ethereum', '#NFTCommunitys', '#NFTCommunity', '#NFTartist', '#NFTCollector']",[]
183,Janet Yellen right now all like https://t.co/7znHESy3Hg,[],[]
184,NOW AVAILABLE: Funko Exclusive ULTIMATE PRINCESS COLLECTION MULAN (GOLD) POP! VINYL WITH PIN! #funko #disney #mulan #pin #disneypin #funkopop  https://t.co/eq8FrHLWO4 https://t.co/tZxo4Y04PK,"['#funko', '#disney', '#mulan', '#pin', '#disneypin', '#funkopop']",[]
185,Dorinda Clark Cole: Evangelist. Businesswoman. Culinary Expert. https://t.co/PN5C8XVYlC,[],[]
186,Everyone can claim it! @goldgier k @tohofmann6 @NFTLORD44 @tripc0in @JillJanes19 @cpingchung @Tuptastic @NFTAlertSystem @nwbaq @BiddlePorter @dbuker11 @Adam Prosser https://t.co/rjSyt7Boq4,[],"['@goldgier', '@tohofmann6', '@NFTLORD44', '@tripc0in', '@JillJanes19', '@cpingchung', '@Tuptastic', '@NFTAlertSystem', '@nwbaq', '@BiddlePorter', '@dbuker11', '@Adam']"
187,Can any of you claim?? @TodosZurdos @ApHaohaO @raiiiiaa @Jay11041995 @lrGbVxtGFkEsIXQ @VentsislavSime1 @TheGame50065611 @mesiban @sonver007 @71kKen @EMenezesCantor @YuranunTunapunt @Apriadi2976Can https://t.co/0xj2Kq2BEc,[],"['@TodosZurdos', '@ApHaohaO', '@raiiiiaa', '@Jay11041995', '@lrGbVxtGFkEsIXQ', '@VentsislavSime1', '@TheGame50065611', '@mesiban', '@sonver007', '@EMenezesCantor', '@YuranunTunapunt', '@Apriadi2976Can']"
188,My 1 season as the head coach for this team overall 28 1 1 Goals for 87 Goals against 12 League play 14 1 0 Goals for 44 Goals against 2 We won 3 out of 4 championships are only lost come in the championship game to Chelsea https://t.co/W8PCUGzAJn,[],[]
189,  day 13 of 365   https://t.co/omCeNbRjor,[],[]
190,They the same age nigga damn   https://t.co/G3jVHeLMnX,[],[]
191,2023 6 6 SG Abdi Bashir with a 34 Point performance in a loss to a very good @PhhPrep team! One of the best shooters in the country with the ability to create his own shot anywhere on the floor! Great ball handler  amp  a very good finisher at the basket with his creativity! https://t.co/XVJoJbtYe0,[],['@PhhPrep']
192,Congratulations to Leonie who was absolutely brilliant and won player of the match!!     #TMHSSport https://t.co/sFYIJxU3z2,['#TMHSSport'],[]
